# {"t_start": 1564156370.2864819, "env_id": null} 
r,l,t
10.052837,1,5156.962528
10.0,1,5156.994774
10.0,1,5157.025648
10.0,1,5157.059272
10.0,1,5157.091644
10.0,1,5157.123534
10.0,1,5157.155135
10.0,1,5157.187071
10.0,1,5157.221181
10.0,1,5157.253296
10.0,1,5157.285059
10.0,1,5157.315393
10.0,1,5157.34914
10.0,1,5157.38148
10.0,1,5157.413366
10.0,1,5157.44502
10.0,1,5157.477702
10.0,1,5157.512782
10.0,1,5157.549504
10.0,1,5157.581143
10.0,1,5157.612908
10.0,1,5157.644671
10.0,1,5157.6755
10.0,1,5157.709208
10.0,1,5157.741228
10.0,1,5157.772165
10.0,1,5157.804934
10.0,1,5157.841852
10.0,1,5157.87644
10.0,1,5157.908036
10.0,1,5157.939664
10.0,1,5157.97155
10.0,1,5158.004018
10.0,1,5158.040485
10.0,1,5158.072859
10.0,1,5158.104952
10.0,1,5158.134418
10.0,1,5158.170109
10.0,1,5158.20429
10.0,1,5158.239167
10.0,1,5158.271222
-4.341378,11456,5389.838713
10.0,1,5389.869227
10.052099,1,5389.901305
9.836848,908,5407.827686
10.030116,1,5407.863816
10.0,1,5407.899081
10.0,1,5407.932267
10.0,1,5407.965655
10.0,1,5407.998012
10.0,1,5408.031793
10.0,1,5408.06958
10.0,1,5408.104605
10.0,1,5408.140711
10.0,1,5408.174509
10.0,1,5408.207291
10.0,1,5408.242109
10.0,1,5408.278968
10.0,1,5408.312022
10.0,1,5408.345372
10.0,1,5408.378428
10.0,1,5408.413414
19.789067,1191,5432.706332
10.304417,1,5432.739728
10.0,1,5432.769276
9.680681,7125,5574.83209
10.0,1,5574.865258
10.0,1,5574.899821
10.0,1,5574.933513
10.0,1,5574.969948
10.0,1,5575.006073
10.0,1,5575.042608
10.0,1,5575.078438
10.0,1,5575.112552
10.0,1,5575.143668
10.0,1,5575.177155
10.0,1,5575.211035
10.0,1,5575.24665
10.0,1,5575.278432
10.0,1,5575.311537
10.0,1,5575.344126
10.0,1,5575.37686
10.0,1,5575.412228
10.0,1,5575.448713
10.0,1,5575.485191
10.0,1,5575.516385
10.0,1,5575.548931
10.0,1,5575.581455
10.0,1,5575.618504
10.0,1,5575.65226
10.0,1,5575.68636
10.0,1,5575.721325
10.0,1,5575.754993
10.0,1,5575.78984
10.0,1,5575.821723
10.0,1,5575.858135
10.0,1,5575.890318
10.0,1,5575.923599
10.0,1,5575.955706
10.0,1,5575.988179
10.0,1,5576.020951
10.0,1,5576.052521
10.0,1,5576.083896
10.0,1,5576.118019
10.0,1,5576.150593
10.0,1,5576.182158
10.0,1,5576.214303
10.0,1,5576.251829
10.0,1,5576.282843
10.0,1,5576.313562
10.0,1,5576.346192
10.0,1,5576.378525
10.0,1,5576.411109
10.0,1,5576.443973
10.0,1,5576.477273
10.0,1,5576.510649
10.0,1,5576.543002
10.0,1,5576.579054
10.0,1,5576.611496
10.0,1,5576.643741
10.0,1,5576.676071
10.0,1,5576.707936
10.0,1,5576.745599
10.0,1,5576.77764
10.0,1,5576.810288
10.0,1,5576.842894
10.0,1,5576.87548
10.0,1,5576.909289
10.0,1,5576.944944
10.0,1,5576.97883
10.0,1,5577.01268
10.0,1,5577.044891
10.0,1,5577.079895
10.0,1,5577.11295
10.0,1,5577.144645
10.0,1,5577.178982
10.0,1,5577.213153
10.0,1,5577.248332
10.0,1,5577.280694
10.0,1,5577.314921
10.0,1,5577.346871
10.0,1,5577.379102
10.0,1,5577.41314
10.0,1,5577.445454
10.0,1,5577.477689
10.0,1,5577.510111
10.0,1,5577.542919
10.0,1,5577.577136
10.0,1,5577.611355
10.0,1,5577.644658
10.0,1,5577.67641
10.0,1,5577.710145
0.693332,9396,5770.056428
9.815558,375,5777.830657
10.0,1,5777.866925
4.377649,6077,5904.320013
8.886918,5341,6009.856715
10.0,1,6009.894017
8.086918,15848,6329.007326
13.16064,1514,6360.248144
9.923037,1,6360.280749
14.637203,4865,6457.948933
2.20328,19348,6846.761525
7.572505,3604,6919.832227
10.0,1,6919.864411
-17.589946,23073,7384.059763
9.792091,475,7393.87189
10.16953,212,7398.121472
10.0,1,7398.155653
10.0,1,7398.18806
10.0,1,7398.221458
9.94109,110,7400.498496
-4.783081,13547,7673.630258
10.0,1,7673.666322
14.884179,5626,7788.990151
7.156455,6798,7926.189619
10.0,1,7926.22429
10.0,1,7926.256607
10.0,1,7926.28786
10.0,1,7926.323027
10.0,1,7926.358314
10.0,1,7926.391476
10.0,1,7926.423596
10.0,1,7926.456076
10.0,1,7926.491391
10.0,1,7926.524026
10.0,1,7926.557824
10.0,1,7926.590896
10.0,1,7926.62719
10.179363,22855,8387.9886
10.0,1,8388.024258
10.0,1,8388.055588
10.0,1,8388.087374
9.898888,1,8388.12005
-1.415747,10802,8604.953712
10.067285,1,8604.986534
10.0,1,8605.021589
10.0,1,8605.053858
10.0,1,8605.085239
7.826494,23823,9083.649198
10.0,1,9083.684762
10.0,1,9083.720081
10.0,1,9083.753242
10.0,1,9083.786339
10.0,1,9083.818217
9.718527,33,9084.475202
10.0,1,9084.508784
10.0,1,9084.540822
9.403632,7338,9232.991431
10.0,1,9233.025739
10.0,1,9233.058167
10.0,1,9233.090709
10.0,1,9233.123981
10.192842,1,9233.15963
-6.622885,20186,9633.638935
10.0,1,9633.669892
9.975519,1,9633.703367
9.625587,18207,9999.275714
12.138416,786,10014.907378
9.878912,1,10014.940956
10.0,1,10014.972366
13.139247,4563,10107.641692
10.0,1,10107.67477
10.120377,1,10107.708015
10.0,1,10107.74108
10.0,1,10107.773088
10.0,1,10107.805799
10.0,1,10107.839258
10.0,1,10107.867563
10.0,1,10107.899688
10.0,1,10107.934761
10.0,1,10107.968604
10.0,1,10108.002217
10.0,1,10108.035384
10.0,1,10108.068494
10.0,1,10108.103149
10.0,1,10108.136417
10.0,1,10108.169348
10.0,1,10108.200236
10.0,1,10108.231005
10.0,1,10108.266046
10.0,1,10108.298488
10.0,1,10108.331639
10.0,1,10108.36802
10.0,1,10108.399678
10.0,1,10108.434521
10.0,1,10108.465127
10.0,1,10108.496438
10.0,1,10108.531096
10.0,1,10108.562914
10.0,1,10108.59734
10.0,1,10108.62968
10.0,1,10108.662286
10.0,1,10108.694472
10.0,1,10108.725657
10.0,1,10108.760783
10.0,1,10108.793313
8.837977,3241,10174.237532
10.133471,1,10174.271448
12.904375,2104,10217.312373
10.146162,1,10217.345642
15.981584,10589,10433.573174
10.0,1,10433.60642
10.0,1,10433.637781
10.0,1,10433.674253
10.0,1,10433.707305
15.366205,27065,10979.628067
10.13407,1,10979.664266
7.482045,8681,11155.968436
10.269635,1,11156.003691
15.791135,3290,11223.986616
13.0991,4772,11320.703827
10.213182,1,11320.737367
15.957476,5362,11428.758726
10.0,1,11428.795203
10.0,1,11428.829768
-5.750996,10050,11632.414397
18.335687,4000,11712.392908
10.37137,1,11712.424915
9.401719,3368,11780.542089
10.0,1,11780.576051
23.898355,2326,11827.845378
10.0,1,11827.876563
8.190856,3689,11902.455232
10.0,1,11902.48935
10.091553,1,11902.523101
17.536661,15798,12220.344513
10.0,1,12220.375861
10.0,1,12220.407219
10.0,1,12220.441931
10.0,1,12220.475112
-3.069572,34409,12915.262371
10.0,1,12915.295827
10.0,1,12915.329334
10.0,1,12915.36231
9.891702,1,12915.395328
10.0,1,12915.430437
-0.986767,15803,13233.295354
10.0,1,13233.331642
10.336912,1,13233.371826
-5.621952,10155,13440.280958
10.0,1,13440.313272
9.860374,1,13440.344531
10.0,1,13440.37855
10.0,1,13440.414583
9.861129,8,13440.585746
10.261112,23,13441.065678
12.951916,24237,13927.531321
10.0,1,13927.566224
9.786531,241,13932.251873
-4.038202,7906,14090.940438
10.0,1,14090.973879
10.0,1,14091.007344
10.0,1,14091.040051
10.0,1,14091.073009
10.0,1,14091.107688
10.0,1,14091.138962
10.0,1,14091.171263
10.0,1,14091.207053
10.0,1,14091.239675
10.0,1,14091.273835
10.0,1,14091.304573
10.0,1,14091.33774
10.0,1,14091.372938
10.0,1,14091.405581
10.0,1,14091.440258
10.0,1,14091.471974
10.0,1,14091.50547
10.0,1,14091.542209
10.0,1,14091.57323
10.0,1,14091.607624
10.0,1,14091.642259
10.0,1,14091.672399
10.0,1,14091.708546
10.0,1,14091.742444
10.0,1,14091.778764
10.0,1,14091.812941
10.0,1,14091.845071
10.0,1,14091.877565
10.0,1,14091.910208
10.0,1,14091.946898
10.0,1,14091.97968
10.0,1,14092.011563
10.0,1,14092.043561
10.0,1,14092.07403
10.0,1,14092.107793
10.0,1,14092.141407
10.0,1,14092.172651
10.0,1,14092.202553
10.0,1,14092.234948
10.0,1,14092.27172
10.0,1,14092.305301
10.0,1,14092.338444
10.0,1,14092.37265
10.0,1,14092.40698
10.0,1,14092.440386
10.0,1,14092.472787
10.0,1,14092.505502
10.0,1,14092.539871
10.0,1,14092.572254
10.0,1,14092.605924
10.0,1,14092.637561
10.0,1,14092.669087
10.0,1,14092.699615
10.0,1,14092.733263
10.0,1,14092.769312
10.0,1,14092.80104
10.0,1,14092.833007
10.0,1,14092.863943
10.0,1,14092.895838
10.0,1,14092.929247
10.0,1,14092.961353
10.0,1,14092.99139
10.0,1,14093.021891
10.0,1,14093.054117
10.0,1,14093.084979
10.0,1,14093.118192
10.0,1,14093.149532
10.0,1,14093.180269
10.0,1,14093.21046
10.0,1,14093.244191
10.0,1,14093.275061
10.0,1,14093.30507
10.0,1,14093.337156
10.0,1,14093.368746
10.0,1,14093.402519
10.0,1,14093.434883
10.0,1,14093.467095
10.0,1,14093.498843
10.0,1,14093.530653
10.0,1,14093.564269
10.0,1,14093.595685
10.0,1,14093.629735
10.0,1,14093.660484
10.0,1,14093.691577
10.0,1,14093.725119
10.0,1,14093.757836
10.0,1,14093.787909
10.0,1,14093.820341
10.0,1,14093.849972
10.0,1,14093.885738
10.0,1,14093.917882
10.0,1,14093.948137
10.0,1,14093.978307
10.0,1,14094.008857
10.0,1,14094.043299
10.0,1,14094.073925
10.0,1,14094.104492
10.0,1,14094.134805
10.0,1,14094.165122
10.0,1,14094.197261
10.0,1,14094.228337
10.0,1,14094.25766
10.0,1,14094.288817
10.0,1,14094.319243
10.0,1,14094.350443
10.0,1,14094.381263
10.0,1,14094.411605
10.0,1,14094.443514
10.0,1,14094.473212
10.0,1,14094.504743
10.0,1,14094.533166
10.0,1,14094.565907
10.0,1,14094.595379
10.0,1,14094.626053
10.0,1,14094.656876
10.0,1,14094.687308
10.0,1,14094.719116
10.0,1,14094.752489
10.0,1,14094.78132
10.0,1,14094.811346
10.0,1,14094.841803
10.0,1,14094.872146
10.223284,1,14094.90543
10.885801,7848,14255.052525
10.0,1,14255.08628
13.551669,9059,14436.382045
10.0,1,14436.41733
10.0,1,14436.450145
10.0,1,14436.483368
15.530305,5496,14545.721657
10.0,1,14545.755135
10.0,1,14545.78855
9.997802,1,14545.821526
10.086951,369,14553.392859
9.81992,1,14553.423457
10.0,1,14553.454265
9.939016,406,14561.346341
7.442952,2557,14612.141174
10.20234,1,14612.174919
-4.18168,19606,15009.843385
10.0,1,15009.879039
10.0,1,15009.911916
10.042826,1,15009.945156
3.247139,7435,15161.867371
10.0,1,15161.903317
10.0,1,15161.940471
10.0,1,15161.976855
10.0,1,15162.011861
10.0,1,15162.050223
10.0,1,15162.083919
10.0,1,15162.117276
10.0,1,15162.155656
10.0,1,15162.190217
10.0,1,15162.224065
10.0,1,15162.262511
10.0,1,15162.297366
10.0,1,15162.332036
10.0,1,15162.363746
10.0,1,15162.396589
10.0,1,15162.432552
10.0,1,15162.466005
10.0,1,15162.501857
10.0,1,15162.533981
9.930668,1,15162.567366
10.0,1,15162.600315
10.0,1,15162.636701
10.0,1,15162.671767
10.0,1,15162.707678
10.0,1,15162.743317
10.0,1,15162.778192
10.0,1,15162.811576
10.0,1,15162.848243
10.0,1,15162.882077
10.0,1,15162.917571
10.0,1,15162.95406
8.15138,13008,15426.806417
10.0,1,15426.839565
9.827511,24153,15912.502917
10.068679,1,15912.542615
10.0,1,15912.579057
10.0,1,15912.612475
10.0,1,15912.645817
10.0,1,15912.681587
10.0,1,15912.715042
10.0,1,15912.748114
10.0,1,15912.78106
10.0,1,15912.814032
10.0,1,15912.849463
10.0,1,15912.881773
-3.70929,13892,16196.702659
11.830046,1335,16223.379351
10.02347,1,16223.41177
4.506038,1314,16249.328713
16.053229,16888,16589.939039
10.173876,218,16594.408121
10.0,1,16594.443489
10.0,1,16594.477127
10.0,1,16594.510861
10.0,1,16594.54402
10.0,1,16594.577508
10.0,1,16594.609307
10.0,1,16594.641827
10.0,1,16594.673975
10.0,1,16594.706959
10.0,1,16594.740239
10.0,1,16594.77528
10.0,1,16594.808449
10.0,1,16594.841645
10.0,1,16594.875084
10.0,1,16594.908271
10.0,1,16594.944027
10.0,1,16594.97734
10.0,1,16595.01011
10.0,1,16595.042481
10.0,1,16595.074288
10.0,1,16595.108263
10.0,1,16595.140139
10.0,1,16595.171941
10.0,1,16595.204154
10.0,1,16595.236306
10.0,1,16595.270319
10.0,1,16595.302545
10.0,1,16595.334275
10.0,1,16595.366173
10.0,1,16595.398124
2.132444,2569,16647.729031
10.044993,1,16647.762604
10.0,1,16647.79772
10.0,1,16647.8308
10.0,1,16647.863696
10.0,1,16647.897386
10.0,1,16647.930372
10.0,1,16647.963162
10.0,1,16647.996294
10.0,1,16648.029481
10.0,1,16648.063147
10.0,1,16648.096517
10.0,1,16648.131938
10.0,1,16648.165769
10.0,1,16648.199898
10.0,1,16648.233233
10.0,1,16648.266191
9.975959,1,16648.301538
10.0,1,16648.334264
10.0,1,16648.366352
10.0,1,16648.398724
10.0,1,16648.43094
3.807776,8615,16822.19756
10.0,1,16822.233096
9.99923,1,16822.265845
10.0,1,16822.298896
10.136575,1,16822.332379
10.0,1,16822.365531
10.0,1,16822.400268
10.0,1,16822.433578
10.0,1,16822.467107
10.0,1,16822.50076
10.0,1,16822.532498
10.0,1,16822.565962
10.0,1,16822.598094
10.0,1,16822.63044
10.0,1,16822.662375
10.0,1,16822.695604
10.0,1,16822.73073
10.0,1,16822.768232
10.0,1,16822.803301
10.0,1,16822.837326
10.0,1,16822.870656
10.0,1,16822.904907
10.0,1,16822.936948
10.0,1,16822.972421
10.0,1,16823.004448
10.0,1,16823.036404
10.0,1,16823.072649
10.0,1,16823.104093
10.0,1,16823.135048
10.0,1,16823.166661
10.0,1,16823.197755
10.0,1,16823.233364
10.0,1,16823.264734
10.0,1,16823.295633
10.0,1,16823.327708
10.0,1,16823.359688
10.0,1,16823.393901
10.0,1,16823.423808
10.0,1,16823.455251
10.0,1,16823.487448
10.0,1,16823.51965
10.0,1,16823.553859
10.0,1,16823.585424
10.0,1,16823.617971
10.0,1,16823.650032
10.0,1,16823.68207
10.0,1,16823.716564
-4.321235,21036,17248.512465
10.051295,1,17248.546069
7.708328,6807,17385.562481
9.96294,1,17385.597005
4.582666,6427,17515.284123
11.683239,13807,17798.536087
17.169718,12968,18060.31105
10.066617,1,18060.344746
8.950869,6098,18184.744255
10.0,1,18184.777282
9.93403,1,18184.810545
12.410042,14580,18478.772046
10.0,1,18478.804031
1.749572,5760,18595.151463
10.197548,7552,18745.408971
10.05554,1,18745.44301
10.0,1,18745.476029
10.114849,1670,18778.792992
9.828842,1,18778.827915
13.46719,34111,19460.673603
10.19778,1,19460.707063
10.0,1,19460.740168
5.459405,36633,20202.868886
10.0,1,20202.903692
10.0,1,20202.938462
9.954815,1,20202.974103
-11.523263,23118,20671.323838
10.634132,8328,20838.98537
5.852506,9178,21024.272434
10.0,1,21024.303262
10.0,1,21024.337318
10.0,1,21024.372482
10.0,1,21024.404587
10.0,1,21024.438319
10.0,1,21024.472226
10.0,1,21024.505616
10.0,1,21024.540378
10.0,1,21024.573649
10.0,1,21024.607164
10.178088,1,21024.640065
10.0,1,21024.673203
10.0,1,21024.708409
10.0,1,21024.741085
10.0,1,21024.774441
10.0,1,21024.807803
10.0,1,21024.841511
10.0,1,21024.875168
10.0,1,21024.907097
10.0,1,21024.939189
10.0,1,21024.97181
10.0,1,21025.00421
10.0,1,21025.038084
10.0,1,21025.069916
10.0,1,21025.101855
10.0,1,21025.131687
10.0,1,21025.166045
10.0,1,21025.198233
10.0,1,21025.228311
10.0,1,21025.261155
10.0,1,21025.294528
10.0,1,21025.325632
10.0,1,21025.359153
10.0,1,21025.389187
10.0,1,21025.422485
10.0,1,21025.452892
10.0,1,21025.487087
10.0,1,21025.520741
10.0,1,21025.552506
10.0,1,21025.585175
10.0,1,21025.618476
10.0,1,21025.650484
10.0,1,21025.684734
10.0,1,21025.717986
10.0,1,21025.750336
10.0,1,21025.781906
10.0,1,21025.814239
10.0,1,21025.848585
10.0,1,21025.880524
10.0,1,21025.913567
10.0,1,21025.945883
10.0,1,21025.97823
10.0,1,21026.01231
10.0,1,21026.044291
10.0,1,21026.076182
10.0,1,21026.108644
10.0,1,21026.140668
10.0,1,21026.175347
10.0,1,21026.207946
10.0,1,21026.239942
10.0,1,21026.272153
10.0,1,21026.304038
10.0,1,21026.338693
10.0,1,21026.370882
10.0,1,21026.40292
10.0,1,21026.435027
10.0,1,21026.467476
10.0,1,21026.502347
10.0,1,21026.535202
10.0,1,21026.567911
10.0,1,21026.600301
10.0,1,21026.633054
10.0,1,21026.667198
10.0,1,21026.69973
10.0,1,21026.732246
10.0,1,21026.764931
10.0,1,21026.797365
10.0,1,21026.831547
10.0,1,21026.863646
10.0,1,21026.894648
10.0,1,21026.928807
10.0,1,21026.96221
10.0,1,21026.998587
10.0,1,21027.029702
10.0,1,21027.058954
10.0,1,21027.090431
10.0,1,21027.122237
10.0,1,21027.159015
10.0,1,21027.191279
10.0,1,21027.223663
10.0,1,21027.25585
10.0,1,21027.289785
10.0,1,21027.325394
10.0,1,21027.359065
10.0,1,21027.389995
10.0,1,21027.42376
10.0,1,21027.456684
10.0,1,21027.491116
10.0,1,21027.522097
10.0,1,21027.55684
10.0,1,21027.589189
11.543701,12367,21279.788979
16.289464,10560,21494.380085
10.0,1,21494.414516
10.0,1,21494.446741
10.0,1,21494.479631
10.0,1,21494.516559
10.0,1,21494.551203
10.0,1,21494.586437
10.0,1,21494.621386
10.0,1,21494.658428
10.0,1,21494.687836
10.0,1,21494.721838
10.0,1,21494.754672
10.0,1,21494.789091
10.0,1,21494.822508
10.0,1,21494.855824
10.0,1,21494.894511
10.0,1,21494.92645
10.0,1,21494.959976
10.0,1,21494.991508
10.0,1,21495.024565
10.0,1,21495.060062
10.0,1,21495.093507
10.0,1,21495.125876
10.0,1,21495.160431
10.0,1,21495.193433
10.0,1,21495.228439
10.0,1,21495.261444
10.0,1,21495.294806
10.0,1,21495.33052
10.0,1,21495.363529
10.0,1,21495.399291
10.0,1,21495.431836
10.0,1,21495.467773
10.0,1,21495.502704
10.0,1,21495.535736
10.0,1,21495.570011
10.0,1,21495.604751
10.0,1,21495.637503
10.0,1,21495.669998
10.0,1,21495.7025
10.0,1,21495.736059
10.0,1,21495.773603
10.0,1,21495.807045
10.0,1,21495.840137
10.0,1,21495.872513
10.0,1,21495.907127
10.0,1,21495.938469
10.038815,1,21495.970848
